Date - MST,Hourly Profile1,Season1,Date (MST),AIL,Gas Price,Price,Spark Spread
1/1/2022 12:00:00 AM,ON PEAK,SUMMER,6/23/2022 4:00:00 PM,10101,5.9,55.3,11.05
1/1/2022 12:00:00 AM,ON PEAK,SUMMER,6/23/2022 5:00:00 PM,9999,5.9,54.03,9.78
1/1/2022 12:00:00 AM,ON PEAK,SUMMER,6/23/2022 6:00:00 PM,9868,5.9,63.77,19.52
1/1/2022 12:00:00 AM,ON PEAK,SUMMER,6/23/2022 7:00:00 PM,9775,5.9,89.97,45.72
1/1/2022 12:00:00 AM,ON PEAK,SUMMER,6/23/2022 8:00:00 PM,9674,5.9,90.25,46
1/1/2022 12:00:00 AM,ON PEAK,SUMMER,6/23/2022 9:00:00 PM,9509,5.9,92.63,48.38
1/1/2022 12:00:00 AM,OFF PEAK,SUMMER,6/23/2022 10:00:00 PM,9180,5.9,97.94,53.69
1/1/2022 12:00:00 AM,OFF PEAK,SUMMER,6/23/2022 11:00:00 PM,8928,5.47,58.27,17.245
1/1/2022 12:00:00 AM,OFF PEAK,SUMMER,6/24/2022 12:00:00 AM,8772,5.47,52.47,11.445
1/1/2022 12:00:00 AM,OFF PEAK,SUMMER,6/24/2022 1:00:00 AM,8752,5.47,54.75,13.725
1/1/2022 12:00:00 AM,OFF PEAK,SUMMER,6/24/2022 2:00:00 AM,8752,5.47,56.21,15.185
1/1/2022 12:00:00 AM,OFF PEAK,SUMMER,6/24/2022 3:00:00 AM,8789,5.47,57.43,16.405
1/1/2022 12:00:00 AM,OFF PEAK,SUMMER,6/24/2022 4:00:00 AM,8768,5.47,58.25,17.225
1/1/2022 12:00:00 AM,OFF PEAK,SUMMER,6/24/2022 5:00:00 AM,8996,5.47,61.98,20.955
1/1/2022 12:00:00 AM,ON PEAK,SUMMER,6/24/2022 6:00:00 AM,9398,5.47,61.49,20.465
1/1/2022 12:00:00 AM,ON PEAK,SUMMER,6/24/2022 7:00:00 AM,9664,5.47,61.7,20.675
1/1/2022 12:00:00 AM,ON PEAK,SUMMER,6/24/2022 8:00:00 AM,9819,5.47,55.17,14.145
1/1/2022 12:00:00 AM,ON PEAK,SUMMER,6/24/2022 9:00:00 AM,9910,5.47,60.97,19.945
1/1/2022 12:00:00 AM,ON PEAK,SUMMER,6/24/2022 10:00:00 AM,9985,5.47,66.99,25.965
1/1/2022 12:00:00 AM,ON PEAK,SUMMER,6/24/2022 11:00:00 AM,9984,5.47,82.47,41.445
1/1/2022 12:00:00 AM,ON PEAK,SUMMER,6/24/2022 12:00:00 PM,9900,5.47,78.96,37.935
1/1/2022 12:00:00 AM,ON PEAK,SUMMER,6/24/2022 1:00:00 PM,9844,5.47,75,33.975
1/1/2022 12:00:00 AM,ON PEAK,SUMMER,6/24/2022 2:00:00 PM,9819,5.47,55.98,14.955
