

Effective Date,AB - Actual Hourly Pool Price Price CAD/MWh,AB - Brooks Solar Hr Avg MW
01-Nov-2018 00:00:00,29.65,0
01-Nov-2018 01:00:00,27.8,0
01-Nov-2018 02:00:00,27.19,0
01-Nov-2018 03:00:00,29.7,0
01-Nov-2018 04:00:00,32.25,0
01-Nov-2018 05:00:00,33.25,0
01-Nov-2018 06:00:00,38.99,0
01-Nov-2018 07:00:00,41.35,0
01-Nov-2018 08:00:00,49.52,0
01-Nov-2018 09:00:00,54.78,1.6666
01-Nov-2018 10:00:00,59.08,2.2
01-Nov-2018 11:00:00,93.86,1.6666
01-Nov-2018 12:00:00,56.71,1.9166
01-Nov-2018 13:00:00,71.99,2.0833
01-Nov-2018 14:00:00,112.02,2.0833
01-Nov-2018 15:00:00,100,2.0833
01-Nov-2018 16:00:00,685.78,1.1666
01-Nov-2018 17:00:00,265.01,0.1666
01-Nov-2018 18:00:00,103.01,0
01-Nov-2018 19:00:00,161.72,0
01-Nov-2018 20:00:00,62.68,0
01-Nov-2018 21:00:00,51.84,0
01-Nov-2018 22:00:00,33.04,0
01-Nov-2018 23:00:00,32.03,0
02-Nov-2018 00:00:00,31.71,0
02-Nov-2018 01:00:00,32.12,0
02-Nov-2018 02:00:00,30.17,0
02-Nov-2018 03:00:00,29.84,0
02-Nov-2018 04:00:00,30.98,0
02-Nov-2018 05:00:00,32.43,0
02-Nov-2018 06:00:00,43.12,0
02-Nov-2018 07:00:00,32.82,0
02-Nov-2018 08:00:00,49.32,0
02-Nov-2018 09:00:00,48.43,0
02-Nov-2018 10:00:00,44.89,0.5
02-Nov-2018 11:00:00,48.21,0.9166
02-Nov-2018 12:00:00,38.77,1
02-Nov-2018 13:00:00,33.26,1
02-Nov-2018 14:00:00,33.26,1
02-Nov-2018 15:00:00,42.7,0.75
02-Nov-2018 16:00:00,42.75,0.0833
02-Nov-2018 17:00:00,53.43,0
02-Nov-2018 18:00:00,89.44,0
02-Nov-2018 19:00:00,56.73,0
02-Nov-2018 20:00:00,48.91,0
02-Nov-2018 21:00:00,49.01,0
02-Nov-2018 22:00:00,48.8,0
02-Nov-2018 23:00:00,66.03,0
03-Nov-2018 00:00:00,50.84,0
03-Nov-2018 01:00:00,50.32,0
03-Nov-2018 02:00:00,48.83,0
03-Nov-2018 03:00:00,48.31,0
03-Nov-2018 04:00:00,43.04,0
03-Nov-2018 05:00:00,33.26,0
03-Nov-2018 06:00:00,33.03,0
03-Nov-2018 07:00:00,31.21,0
03-Nov-2018 08:00:00,33.26,0.0833
03-Nov-2018 09:00:00,49.24,2
03-Nov-2018 10:00:00,61.15,3.3333
03-Nov-2018 11:00:00,103.63,5.6666
03-Nov-2018 12:00:00,32.99,7.4166
03-Nov-2018 13:00:00,33.23,8.25
03-Nov-2018 14:00:00,33.26,6
03-Nov-2018 15:00:00,30.7,4.6666
03-Nov-2018 16:00:00,27.18,2.9166
03-Nov-2018 17:00:00,32.97,0.8333
03-Nov-2018 18:00:00,41.9,0
03-Nov-2018 19:00:00,37.69,0
03-Nov-2018 20:00:00,32.03,0
03-Nov-2018 21:00:00,28.07,0
03-Nov-2018 22:00:00,27.18,0
03-Nov-2018 23:00:00,27.09,0
04-Nov-2018 00:00:00,27.05,0
04-Nov-2018 01:00:00,27.18,0
04-Nov-2018 02:00:00,27.16,0
04-Nov-2018 03:00:00,27.05,0
04-Nov-2018 04:00:00,27.16,0
04-Nov-2018 05:00:00,27.18,0
04-Nov-2018 06:00:00,31.42,0
04-Nov-2018 07:00:00,27.19,0
04-Nov-2018 08:00:00,31.09,0.6666
04-Nov-2018 09:00:00,33.13,1.1666
04-Nov-2018 10:00:00,33.06,3.75
04-Nov-2018 11:00:00,32.99,2.25
04-Nov-2018 12:00:00,32.99,2.5
04-Nov-2018 13:00:00,32.25,2.75
04-Nov-2018 14:00:00,28.6,1.5833
04-Nov-2018 15:00:00,28.2,0.9166
04-Nov-2018 16:00:00,31.82,0
04-Nov-2018 17:00:00,44.79,0
04-Nov-2018 18:00:00,48.94,0
04-Nov-2018 19:00:00,49.88,0
04-Nov-2018 20:00:00,49.44,0
04-Nov-2018 21:00:00,41.67,0
04-Nov-2018 22:00:00,32.55,0
04-Nov-2018 23:00:00,28.94,0
05-Nov-2018 00:00:00,31.73,0
05-Nov-2018 01:00:00,31.74,0
05-Nov-2018 02:00:00,31.74,0
05-Nov-2018 03:00:00,31.74,0
05-Nov-2018 04:00:00,31.74,0
05-Nov-2018 05:00:00,32.72,0
05-Nov-2018 06:00:00,43.02,0
05-Nov-2018 07:00:00,33.96,0
05-Nov-2018 08:00:00,33.26,0.9166
05-Nov-2018 09:00:00,69.02,2.25
05-Nov-2018 10:00:00,98.95,5
05-Nov-2018 11:00:00,383.62,6.3333
05-Nov-2018 12:00:00,121.88,7.6666
05-Nov-2018 13:00:00,95.05,6.3333
05-Nov-2018 14:00:00,160.8,4.9166
05-Nov-2018 15:00:00,97.41,1.8333
05-Nov-2018 16:00:00,164.64,0
05-Nov-2018 17:00:00,334.95,0
05-Nov-2018 18:00:00,253.99,0
05-Nov-2018 19:00:00,93.45,0
05-Nov-2018 20:00:00,89.27,0
05-Nov-2018 21:00:00,72.81,0
05-Nov-2018 22:00:00,50.78,0
05-Nov-2018 23:00:00,51.01,0
06-Nov-2018 00:00:00,54.12,0
06-Nov-2018 01:00:00,60.45,0
06-Nov-2018 02:00:00,53.3,0
06-Nov-2018 03:00:00,48.37,0
06-Nov-2018 04:00:00,52.1,0
06-Nov-2018 05:00:00,58.42,0
06-Nov-2018 06:00:00,80.39,0
06-Nov-2018 07:00:00,63.56,0
06-Nov-2018 08:00:00,71.2,0
06-Nov-2018 09:00:00,69.86,0.9166
06-Nov-2018 10:00:00,64.89,1.4166
06-Nov-2018 11:00:00,73.33,2.6666
06-Nov-2018 12:00:00,60.34,3.9166
06-Nov-2018 13:00:00,60.63,3.0833
06-Nov-2018 14:00:00,61.24,2.8333
06-Nov-2018 15:00:00,70.26,1.5
06-Nov-2018 16:00:00,87.35,0.0833
06-Nov-2018 17:00:00,200.7,0
06-Nov-2018 18:00:00,72.43,0
06-Nov-2018 19:00:00,64.55,0
06-Nov-2018 20:00:00,63.52,0
06-Nov-2018 21:00:00,80.96,0
06-Nov-2018 22:00:00,76.28,0
06-Nov-2018 23:00:00,71.85,0
07-Nov-2018 00:00:00,57.27,0
07-Nov-2018 01:00:00,67.61,0
07-Nov-2018 02:00:00,56.17,0
07-Nov-2018 03:00:00,62,0
07-Nov-2018 04:00:00,68.75,0
07-Nov-2018 05:00:00,56.45,0
07-Nov-2018 06:00:00,70.19,0
07-Nov-2018 07:00:00,72.6,0
07-Nov-2018 08:00:00,73.82,0
07-Nov-2018 09:00:00,71.12,0.4166
07-Nov-2018 10:00:00,70.03,1.1666
07-Nov-2018 11:00:00,68.84,1.0833
07-Nov-2018 12:00:00,59.23,1
07-Nov-2018 13:00:00,60.06,1
07-Nov-2018 14:00:00,63.24,1
07-Nov-2018 15:00:00,65.06,0.5833
07-Nov-2018 16:00:00,67.28,0.0833
07-Nov-2018 17:00:00,136.64,0
07-Nov-2018 18:00:00,73.31,0
07-Nov-2018 19:00:00,88.3,0
07-Nov-2018 20:00:00,59.99,0
07-Nov-2018 21:00:00,84.03,0
07-Nov-2018 22:00:00,74.44,0
07-Nov-2018 23:00:00,84.24,0
08-Nov-2018 00:00:00,65.57,0
08-Nov-2018 01:00:00,62.02,0
08-Nov-2018 02:00:00,64.88,0
08-Nov-2018 03:00:00,65.5,0
08-Nov-2018 04:00:00,66.81,0
08-Nov-2018 05:00:00,81.82,0
08-Nov-2018 06:00:00,94.62,0
08-Nov-2018 07:00:00,80.19,0
08-Nov-2018 08:00:00,94.9,0.5833
08-Nov-2018 09:00:00,96.79,1.4166
08-Nov-2018 10:00:00,103.84,2.1666
08-Nov-2018 11:00:00,94.48,3.4166
08-Nov-2018 12:00:00,82.64,2.1666
08-Nov-2018 13:00:00,76.23,1.0833
