"","Scenario","Unit","Region","Variable","Year","Value"
"1","Current Measures","Million Cubic Metres per day","Canada","Total",2005,481.989174446713
"2","Current Measures","Million Cubic Metres per day","Canada","Total",2006,484.376875516999
"3","Current Measures","Million Cubic Metres per day","Canada","Total",2007,476.56858673062
"4","Current Measures","Million Cubic Metres per day","Canada","Total",2008,456.796201840957
"5","Current Measures","Million Cubic Metres per day","Canada","Total",2009,427.792172460582
"6","Current Measures","Million Cubic Metres per day","Canada","Total",2010,412.977201700708
"7","Current Measures","Million Cubic Metres per day","Canada","Total",2011,412.945901630199
"8","Current Measures","Million Cubic Metres per day","Canada","Total",2012,394.004741337177
"9","Current Measures","Million Cubic Metres per day","Canada","Total",2013,398.342563651963
"10","Current Measures","Million Cubic Metres per day","Canada","Total",2014,418.68725062651
"11","Current Measures","Million Cubic Metres per day","Canada","Total",2015,429.734217651573
"12","Current Measures","Million Cubic Metres per day","Canada","Total",2016,433.586542867418
"13","Current Measures","Million Cubic Metres per day","Canada","Total",2017,439.703005210295
"14","Current Measures","Million Cubic Metres per day","Canada","Total",2018,457.6167458707
"15","Current Measures","Million Cubic Metres per day","Canada","Total",2019,444.761775133302
"16","Current Measures","Million Cubic Metres per day","Canada","Total",2020,436.847371615786
"17","Current Measures","Million Cubic Metres per day","Canada","Total",2021,456.246301803498
"18","Current Measures","Million Cubic Metres per day","Canada","Total",2022,489.637192565702
"19","Current Measures","Million Cubic Metres per day","Canada","Total",2023,492.350788323276
"20","Current Measures","Million Cubic Metres per day","Canada","Total",2024,471.480533871164
"21","Current Measures","Million Cubic Metres per day","Canada","Total",2025,476.037104534372
"22","Current Measures","Million Cubic Metres per day","Canada","Total",2026,486.79653069968
"23","Current Measures","Million Cubic Metres per day","Canada","Total",2027,480.307884226682
"24","Current Measures","Million Cubic Metres per day","Canada","Total",2028,476.375506194304
"25","Current Measures","Million Cubic Metres per day","Canada","Total",2029,485.968829965992
"26","Current Measures","Million Cubic Metres per day","Canada","Total",2030,501.041119672544
"27","Current Measures","Million Cubic Metres per day","Canada","Total",2031,498.494158627993
"28","Current Measures","Million Cubic Metres per day","Canada","Total",2032,493.050307721714
"29","Current Measures","Million Cubic Metres per day","Canada","Total",2033,499.09990456099
"30","Current Measures","Million Cubic Metres per day","Canada","Total",2034,506.148145330415
"31","Current Measures","Million Cubic Metres per day","Canada","Total",2035,511.210571430594
"32","Current Measures","Million Cubic Metres per day","Canada","Total",2036,514.761576694691
"33","Current Measures","Million Cubic Metres per day","Canada","Total",2037,516.736124002186
"34","Current Measures","Million Cubic Metres per day","Canada","Total",2038,519.897357593297
"35","Current Measures","Million Cubic Metres per day","Canada","Total",2039,524.786668874435
"36","Current Measures","Million Cubic Metres per day","Canada","Total",2040,530.513047801624
"37","Current Measures","Million Cubic Metres per day","Canada","Total",2041,536.048499876822
"38","Current Measures","Million Cubic Metres per day","Canada","Total",2042,541.583593605496
"39","Current Measures","Million Cubic Metres per day","Canada","Total",2043,548.134525806534
"40","Current Measures","Million Cubic Metres per day","Canada","Total",2044,555.726462422164
"41","Current Measures","Million Cubic Metres per day","Canada","Total",2045,563.539463699253
"42","Current Measures","Million Cubic Metres per day","Canada","Total",2046,571.489621978949
"43","Current Measures","Million Cubic Metres per day","Canada","Total",2047,579.904558458659
"44","Current Measures","Million Cubic Metres per day","Canada","Total",2048,588.738002970434
"45","Current Measures","Million Cubic Metres per day","Canada","Total",2049,597.935424188794
"46","Current Measures","Million Cubic Metres per day","Canada","Total",2050,607.4375497569
"47","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2005,470.28574502969
"48","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2006,473.740397058449
"49","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2007,464.310896029132
"50","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2008,443.809518415844
"51","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2009,417.446559081629
"52","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2010,403.64411092831
"53","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2011,404.895366991649
"54","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2012,387.841042752735
"55","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2013,392.833152194412
"56","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2014,409.009811557227
"57","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2015,423.789813941503
"58","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2016,428.344092632813
"59","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2017,435.879855912694
"60","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2018,455.226453267336
"61","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2019,444.397114348982
"62","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2020,436.519825517419
"63","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2021,455.908493480052
"64","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2022,489.348990360954
"65","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2023,492.097691148445
"66","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2024,471.262572206475
"67","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2025,475.852656313093
"68","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2026,486.642654336579
"69","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2027,480.180807250239
"70","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2028,476.271112335656
"71","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2029,485.883071239456
"72","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2030,500.970311232999
"73","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2031,498.435146703781
"74","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2032,493.000526160494
"75","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2033,499.057349537162
"76","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2034,506.111301081419
"77","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2035,511.178315633433
"78","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2036,514.733086097291
"79","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2037,516.710792256482
"80","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2038,519.874730211498
"81","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2039,524.766395348113
"82","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2040,530.494848369093
"83","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2041,536.032143509643
"84","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2042,541.568883906702
"85","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2043,548.12129215879
"86","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2044,555.714554398027
"87","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2045,563.528747447947
"88","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2046,571.479977757138
"89","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2047,579.895878821001
"90","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2048,588.730191356574
"91","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2049,597.928393762371
"92","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Total",2050,607.431222380482
"93","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2005,44.7972090942299
"94","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2006,43.6079026580999
"95","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2007,40.7762206673142
"96","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2008,38.1144395959756
"97","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2009,36.5286976811356
"98","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2010,40.134931685672
"99","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2011,42.4686985646204
"100","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2012,48.0248790107236
"101","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2013,55.0829752057925
"102","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2014,63.7500831013714
"103","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2015,67.4160162623497
"104","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2016,62.0034585824033
"105","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2017,60.7252124922482
"106","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2018,66.4185204716449
"107","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2019,69.1807124313671
"108","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2020,66.136492084033
"109","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2021,70.2132779267557
"110","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2022,77.7212148312176
"111","Current Measures","Million Cubic Metres per day","Western Canadian Sedimentary Basin","Solution",2023,78.2699949256259
