date,month,year,Plant_Type,gen,gen12m
2005-01-15,1,2005,COAL,4952.819892473119,NA
2005-01-15,1,2005,NATURAL GAS,2304.5967741935483,NA
2005-01-15,1,2005,RENEWABLES,380.99059139784947,NA
2005-01-15,1,2005,NET IMPORTS,-4.435483870967742,NA
2005-02-15,2,2005,COAL,4941.918154761905,NA
2005-02-15,2,2005,NATURAL GAS,2166.9925595238096,NA
2005-02-15,2,2005,RENEWABLES,375.23363095238096,NA
2005-02-15,2,2005,NET IMPORTS,-46.294642857142854,NA
2005-03-15,3,2005,COAL,5040.561827956989,NA
2005-03-15,3,2005,NATURAL GAS,1958.534946236559,NA
2005-03-15,3,2005,RENEWABLES,370.744623655914,NA
2005-03-15,3,2005,NET IMPORTS,-195.33602150537635,NA
2005-04-15,4,2005,COAL,4907.53685674548,NA
2005-04-15,4,2005,NATURAL GAS,1807.923504867872,NA
2005-04-15,4,2005,RENEWABLES,321.6119610570237,NA
2005-04-15,4,2005,NET IMPORTS,-51.80945757997218,NA
2005-05-15,5,2005,COAL,4574.659946236559,NA
2005-05-15,5,2005,NATURAL GAS,1905.5403225806451,NA
2005-05-15,5,2005,RENEWABLES,404.5994623655914,NA
2005-05-15,5,2005,NET IMPORTS,94.82930107526882,NA
2005-06-15,6,2005,COAL,4306.175,4780.457143211369
2005-06-15,6,2005,NATURAL GAS,1842.2680555555555,2017.9692245908857
2005-06-15,6,2005,RENEWABLES,593.9833333333333,433.87942609186075
2005-06-15,6,2005,NET IMPORTS,162.825,56.99332624374181
2005-07-15,7,2005,COAL,4740.365591397849,4800.595472064416
2005-07-15,7,2005,NATURAL GAS,1873.4274193548385,2000.4096367772656
2005-07-15,7,2005,RENEWABLES,563.9274193548387,441.3279027943697
2005-07-15,7,2005,NET IMPORTS,-52.079301075268816,65.69897140503214
2005-08-15,8,2005,COAL,4752.243279569892,4826.979276627908
2005-08-15,8,2005,NATURAL GAS,2116.6102150537636,1991.1804701105991
2005-08-15,8,2005,RENEWABLES,411.4516129032258,444.7601944610364
2005-08-15,8,2005,NET IMPORTS,99.01344086021506,72.44897140503214
2005-09-15,9,2005,COAL,4749.4736111111115,4847.107300821456
2005-09-15,9,2005,NATURAL GAS,1919.3680555555557,1999.970456669739
2005-09-15,9,2005,RENEWABLES,436.275,443.67372492698615
2005-09-15,9,2005,NET IMPORTS,52.0125,89.00049470252317
2005-10-15,10,2005,COAL,4617.64602960969,4836.616109351823
2005-10-15,10,2005,NATURAL GAS,1951.4185733512786,2015.0860106799382
2005-10-15,10,2005,RENEWABLES,448.3956931359354,448.0661681351457
2005-10-15,10,2005,NET IMPORTS,199.36742934051145,111.38714282491539
2005-11-15,11,2005,COAL,4637.109722222222,4844.9362258392775
2005-11-15,11,2005,NATURAL GAS,2200.375,2008.2746307516227
2005-11-15,11,2005,RENEWABLES,460.6166666666667,449.9472165222424
2005-11-15,11,2005,NET IMPORTS,276.01666666666665,124.44740268154622
