date,he,alberta_internal_load,pool_price,import_export,AESO_Name,Capacity,asset_id,block_number,price,from,to,size,available_mw,dispatched,dispatched_mw,flexible,Plant_Type,Plant_Fuel
2024-01-10,01,10710,54.58,,Genesee #1 (GN1),400,GN1,0,0,0,400,400,400,Y,400,N,COAL,COAL
2024-01-10,01,10710,54.58,,Genesee #2 (GN2),400,GN2,0,0,0,400,400,400,Y,400,N,COAL,COAL
2024-01-10,01,10710,54.58,,Genesee #3 (GN3),466,GN3,0,0,0,466,466,466,Y,466,N,COAL,COAL
2024-01-10,01,10710,54.58,,Bear Creek 2 (BCR2),36,BCR2,0,0,0,18,18,18,Y,18,N,COGEN,GAS
2024-01-10,01,10710,54.58,,Bear Creek 1 (BCRK),64,BCRK,0,0,0,62,62,62,Y,62,N,COGEN,GAS
2024-01-10,01,10710,54.58,,Carseland Cogen (TC01),95,TC01,0,0,0,64,64,64,Y,64,N,COGEN,GAS
2024-01-10,01,10710,54.58,,Redwater Cogen (TC02),92,TC02,0,0,0,84,84,84,Y,84,N,COGEN,GAS
2024-01-10,01,10710,54.58,,MacKay River (MKRC),207,MKRC,0,0,0,200,200,200,Y,200,N,COGEN,GAS
2024-01-10,01,10710,54.58,,Blackfalds (BFD1),6,BFD1,0,0,0,3,3,3,Y,3,N,COGEN,GAS
2024-01-10,01,10710,54.58,,Wembley (WEM1),19,WEM1,0,0,0,5,5,5,Y,5,Y,COGEN,GAS
2024-01-10,01,10710,54.58,,Saddle Hills (SDH1),10,SDH1,0,0,0,5,5,5,Y,5,Y,COGEN,GAS
2024-01-10,01,10710,54.58,,Coaldale (COD1),5,COD1,0,0,0,5,5,5,Y,5,Y,COGEN,GAS
2024-01-10,01,10710,54.58,,Mulligan (MUL1),5,MUL1,0,0,0,5,5,5,Y,5,Y,COGEN,GAS
2024-01-10,01,10710,54.58,,U of C Generator (UOC1)*,12,UOC1,0,0,0,12,12,12,Y,12,Y,COGEN,GAS
2024-01-10,01,10710,54.58,,Edson (TLM2),13,TLM2,0,0,0,12,12,12,Y,12,Y,COGEN,GAS
2024-01-10,01,10710,54.58,,Base Plant (SCR1),50,SCR1,0,0,0,37,37,37,Y,37,N,COGEN,GAS
2024-01-10,01,10710,54.58,,AltaGas Harmattan (HMT1),45,HMT1,0,0,0,38,38,38,Y,38,Y,COGEN,GAS
2024-01-10,01,10710,54.58,,Rainbow Lake #1 (RL1),47,RL1,0,0,0,44,44,44,Y,44,N,COGEN,GAS
2024-01-10,01,10710,54.58,,Air Liquide Scotford #1 (ALS1),96,ALS1,0,0,0,50,50,50,Y,50,N,COGEN,GAS
2024-01-10,01,10710,54.58,,Heartland Petrochemical (HRT1),116,HRT1,0,0,0,70,70,70,Y,70,N,COGEN,GAS
2024-01-10,01,10710,54.58,,Foster Creek (EC04),98,EC04,0,0,0,85,85,85,Y,85,Y,COGEN,GAS
2024-01-10,01,10710,54.58,,Primrose #1 (PR1),100,PR1,0,0,0,90,90,90,Y,90,N,COGEN,GAS
2024-01-10,01,10710,54.58,,Christina Lake (CL01),101,CL01,0,0,0,93,93,93,Y,93,Y,COGEN,GAS
2024-01-10,01,10710,54.58,,Joffre #1 (JOF1),474,JOF1,0,0,0,100,100,100,Y,100,N,COGEN,GAS
2024-01-10,01,10710,54.58,,MEG1 Christina Lake (MEG1),202,MEG1,0,0,0,116,116,116,Y,116,Y,COGEN,GAS
2024-01-10,01,10710,54.58,,Dow Hydrocarbon (DOWG),326,DOWG,0,0,0,130,130,130,Y,130,N,COGEN,GAS
2024-01-10,01,10710,54.58,,ATCO Scotford Upgrader (APS1),195,APS1,0,0,0,130,130,130,Y,130,N,COGEN,GAS
2024-01-10,01,10710,54.58,,Nabiye (IOR2)*,195,IOR2,0,0,0,165,165,165,Y,165,Y,COGEN,GAS
2024-01-10,01,10710,54.58,,Fort Hills (FH1),199,FH1,0,0,0,165,165,165,Y,165,N,COGEN,GAS
2024-01-10,01,10710,54.58,,Mahkeses (IOR1),180,IOR1,0,0,0,167,167,167,Y,167,N,COGEN,GAS
2024-01-10,01,10710,54.58,,Muskeg River (MKR1),202,MKR1,0,0,0,178,178,178,Y,178,N,COGEN,GAS
2024-01-10,01,10710,54.58,,Nexen Inc #2 (NX02),220,NX02,0,0,0,187,187,187,Y,187,N,COGEN,GAS
2024-01-10,01,10710,54.58,,Poplar Creek (SCR5),376,SCR5,0,0,0,335,335,335,Y,335,N,COGEN,GAS
2024-01-10,01,10710,54.58,,Syncrude #1 (SCL1)*,510,SCL1,0,0,0,475,475,475,Y,475,N,COGEN,GAS
2024-01-10,01,10710,54.58,,Firebag (SCR6),473,SCR6,0,0,0,480,480,480,Y,480,N,COGEN,GAS
2024-01-10,01,10710,54.58,,Bighorn Hydro (BIG),120,BIG,0,0,0,18,18,18,Y,18,N,HYDRO,HYDRO
2024-01-10,01,10710,54.58,,Bow River Hydro (BOW1),320,BOW1,0,0,0,41,41,41,Y,41,N,HYDRO,HYDRO
2024-01-10,01,10710,54.58,,Dickson Dam (DKSN),15,DKSN,0,0,0,5,5,5,Y,5,N,HYDRO,HYDRO
2024-01-10,01,10710,54.58,I,AB - Montana Imp Hr Avg MW,NA,AB_MON_IMP,0,0,0,25,25,25,Y,25,Y,IMPORT,IMPORT
2024-01-10,01,10710,54.58,I,AB - Saskpower Imp AB Hr Avg MW,155,AB_SK_IMP,0,0,0,90,90,90,Y,90,Y,IMPORT,IMPORT
2024-01-10,01,10710,54.58,,Cavalier (EC01),120,EC01,0,0,0,50,50,50,Y,50,N,NGCC,GAS
2024-01-10,01,10710,54.58,,Shepard (EGC1),860,EGC1,0,0,0,390,390,390,Y,390,N,NGCC,GAS
2024-01-10,01,10710,54.58,,Fort Nelson (FNG1),73,FNG1,0,0,0,28,28,28,Y,28,Y,NGCC,GAS
2024-01-10,01,10710,54.58,,ENMAX Calgary Energy Centre (CAL1),320,CAL1,0,0,0,115,115,115,Y,115,N,NGCC,GAS
2024-01-10,01,10710,54.58,,Nexen Inc #1 (NX01),120,NX01,0,0,0,116,116,116,Y,116,N,NGCC,GAS
2024-01-10,01,10710,54.58,,Medicine Hat #1 (CMH1),255,CMH1,0,0,0,130,130,130,Y,130,N,NGCC,GAS
2024-01-10,01,10710,54.58,,Keephills #2 (KH2),395,KH2,0,0,0,125,125,125,Y,125,Y,NGCONV,GAS
2024-01-10,01,10710,54.58,,Keephills #3 (KH3),463,KH3,0,0,0,135,135,135,Y,135,Y,NGCONV,GAS
2024-01-10,01,10710,54.58,,Battle River #4 (BR4),155,BR4,0,0,0,30,30,30,Y,30,N,NGCONV,GAS
2024-01-10,01,10710,54.58,,Battle River #5 (BR5),385,BR5,0,0,0,90,90,90,Y,90,N,NGCONV,GAS
2024-01-10,01,10710,54.58,,Sheerness #2 (SH2),390,SH2,0,0,0,120,120,120,Y,120,Y,NGCONV,GAS
2024-01-10,01,10710,54.58,,Sheerness #1 (SH1),400,SH1,0,0,0,120,120,120,Y,120,Y,NGCONV,GAS
2024-01-10,01,10710,54.58,,DAI1 Daishowa (DAI1),52,DAI1,0,0,0,7,7,7,Y,7,Y,OTHER,OTHER
2024-01-10,01,10710,54.58,,Grande Prairie EcoPower (GPEC),27,GPEC,0,0,0,12,12,12,Y,12,Y,OTHER,OTHER
2024-01-10,01,10710,54.58,,Westlock (WST1),18,WST1,0,0,0,12,12,12,Y,12,Y,OTHER,OTHER
2024-01-10,01,10710,54.58,,APF Athabasca (AFG1)*,131,AFG1,0,0,0,18,18,18,Y,18,N,OTHER,OTHER
2024-01-10,01,10710,54.58,,Cancarb Medicine Hat (CCMH),42,CCMH,0,0,0,20,20,20,Y,20,N,OTHER,OTHER
2024-01-10,01,10710,54.58,,Whitecourt Power (EAGL),25,EAGL,0,0,0,24,24,24,Y,24,N,OTHER,OTHER
2024-01-10,01,10710,54.58,,Weyerhaeuser (WEY1),48,WEY1,0,0,0,43,43,43,Y,43,Y,OTHER,OTHER
2024-01-10,01,10710,54.58,,Drywood (DRW1),6,DRW1,0,0,0,3,3,3,Y,3,Y,SCGT,GAS
2024-01-10,01,10710,54.58,,Bellshill (BHL1),5,BHL1,0,0,0,3,3,3,Y,3,N,SCGT,GAS
2024-01-10,01,10710,54.58,,Lethbridge Coaldale (ME04),6,ME04,0,0,0,4,4,4,Y,4,Y,SCGT,GAS
2024-01-10,01,10710,54.58,,Lethbridge Burdett (ME03),7,ME03,0,0,0,4,4,4,Y,4,Y,SCGT,GAS
2024-01-10,01,10710,54.58,,Lethbridge Taber (ME02),8,ME02,0,0,0,4,4,4,Y,4,Y,SCGT,GAS
2024-01-10,01,10710,54.58,,AltaGas Bantry (ALP1),7,ALP1,0,0,0,4,4,4,Y,4,Y,SCGT,GAS
2024-01-10,01,10710,54.58,,AltaGas Parkland (ALP2),10,ALP2,0,0,0,5,5,5,Y,5,Y,SCGT,GAS
2024-01-10,01,10710,54.58,,High River 1 (HRV1),10,HRV1,0,0,0,5,5,5,Y,5,Y,SCGT,GAS
2024-01-10,01,10710,54.58,,High River 2 (HRV2),10,HRV2,0,0,0,5,5,5,Y,5,Y,SCGT,GAS
2024-01-10,01,10710,54.58,,Ralston (NAT1),20,NAT1,0,0,0,5,5,5,Y,5,Y,SCGT,GAS
2024-01-10,01,10710,54.58,,Judy Creek (GEN6),15,GEN6,0,0,0,10,10,10,Y,10,Y,SCGT,GAS
2024-01-10,01,10710,54.58,,Carson Creek (GEN5),15,GEN5,0,0,0,10,10,10,Y,10,Y,SCGT,GAS
2024-01-10,01,10710,54.58,,South Edmonton Terminal (SET1),20,SET1,0,0,0,13,13,13,Y,13,Y,SCGT,GAS
2024-01-10,01,10710,54.58,,West Cadotte (WCD1),20,WCD1,0,0,0,16,16,16,Y,16,Y,SCGT,GAS
2024-01-10,01,10710,54.58,,Northern Prairie Power Project (NPP1),105,NPP1,0,0,0,45,45,45,Y,45,N,SCGT,GAS
2024-01-10,01,10710,54.58,,H.R. Milner (HRM),300,HRM,0,0,0,285,285,285,Y,285,N,SCGT,COAL
2024-01-10,01,10710,54.58,,Barlow Solar (BLS1),27,BLS1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,BRD1 Burdett (BRD1),11,BRD1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Brooks Solar 1 (BRK1),13,BRK1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Brooks Solar 2 (BRK2),14,BRK2,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Brooks Solar (BSC1),15,BSC1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,BUR1 Burdett (BUR1),20,BUR1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Chappice Lake (CHP1),14,CHP1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Claresholm 2 (CLR2),58,CLR1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Claresholm 1 (CLR1),75,CLR2,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Clydesdale 1 (CLY1),41,CLY1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Clydesdale 2 (CLY2),34,CLY2,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Coaldale (COL1),23,COL1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
