"","date","he","import_export","asset_id","block_number","price","from","to","size","available_mw","dispatched","dispatched_mw","flexible","offer_control","effective_date_time","key_firm","offer_sum","renew_gen","AESO_Name","Capacity","Plant_Type","Plant_Fuel","co2_est","oba_rate","ctax","compliance_cost","policy","oba_val","ctax_cost","merit","merit_dispatch","key_firm_no_bp","offer_store","plant_store","year"
"1",2022-10-20,"14","","HHW1",1,0,0,0.0001,0.0001,0.0001,"Y",0.0001,"N","BER Hand Hills Wind LP",2022-10-20 14:00:00,FALSE,"Other",0.0001,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,7249.5788,7249.5788,FALSE,"Other","WIND",2022
"2",2022-12-29,"18","","HHW1",1,0,0,3.2792,3.2792,3.2792,"Y",3.2792,"N","BER Hand Hills Wind LP",2022-12-29 18:00:00,FALSE,"Other",3.2792,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8118.2193,8118.2193,FALSE,"Other","WIND",2022
"3",2022-12-29,"19","","HHW1",1,0,0,3.921,3.921,3.921,"Y",3.921,"N","BER Hand Hills Wind LP",2022-12-29 19:00:00,FALSE,"Other",3.921,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8349.5353,8349.5353,FALSE,"Other","WIND",2022
"4",2022-12-29,"20","","HHW1",1,0,0,3.9215,3.9215,3.9215,"Y",3.9215,"N","BER Hand Hills Wind LP",2022-12-29 20:00:00,FALSE,"Other",3.9215,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8364.2653,8364.2653,FALSE,"Other","WIND",2022
"5",2022-12-29,"21","","HHW1",1,0,0,3.9207,3.9207,3.9207,"Y",3.9207,"N","BER Hand Hills Wind LP",2022-12-29 21:00:00,FALSE,"Other",3.9207,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8329.4397,8329.4397,FALSE,"Other","WIND",2022
"6",2022-12-29,"22","","HHW1",1,0,0,3.9071,3.9071,3.9071,"Y",3.9071,"N","BER Hand Hills Wind LP",2022-12-29 22:00:00,FALSE,"Other",3.9071,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8326.4135,8326.4135,FALSE,"Other","WIND",2022
"7",2022-12-29,"23","","HHW1",1,0,0,3.834,3.834,3.834,"Y",3.834,"N","BER Hand Hills Wind LP",2022-12-29 23:00:00,FALSE,"Other",3.834,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8354.887,8354.887,FALSE,"Other","WIND",2022
"8",2022-12-29,"24","","HHW1",1,0,0,1.7224,1.7224,1.7224,"Y",1.7224,"N","BER Hand Hills Wind LP",2022-12-29,FALSE,"Other",1.7224,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8344.2279,8344.2279,FALSE,"Other","WIND",2022
"9",2022-12-30,"01","","HHW1",1,0,0,0.9413,0.9413,0.9413,"Y",0.9413,"N","BER Hand Hills Wind LP",2022-12-30 01:00:00,FALSE,"Other",0.9413,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8388.1888,8388.1888,FALSE,"Other","WIND",2022
"10",2022-12-30,"02","","HHW1",1,0,0,1.9757,1.9757,1.9757,"Y",1.9757,"N","BER Hand Hills Wind LP",2022-12-30 02:00:00,FALSE,"Other",1.9757,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8236.3008,8236.3008,FALSE,"Other","WIND",2022
"11",2022-12-30,"03","","HHW1",1,0,0,0.9572,0.9572,0.9572,"Y",0.9572,"N","BER Hand Hills Wind LP",2022-12-30 03:00:00,FALSE,"Other",0.9572,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8254.1266,8254.1266,FALSE,"Other","WIND",2022
"12",2022-12-30,"04","","HHW1",1,0,0,0.7093,0.7093,0.7093,"Y",0.7093,"N","BER Hand Hills Wind LP",2022-12-30 04:00:00,FALSE,"Other",0.7093,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8267.7777,8267.7777,FALSE,"Other","WIND",2022
"13",2022-12-30,"05","","HHW1",1,0,0,0.1118,0.1118,0.1118,"Y",0.1118,"N","BER Hand Hills Wind LP",2022-12-30 05:00:00,FALSE,"Other",0.1118,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8212.4467,8212.4467,FALSE,"Other","WIND",2022
"14",2022-12-30,"06","","HHW1",1,0,0,0.0553,0.0553,0.0553,"Y",0.0553,"N","BER Hand Hills Wind LP",2022-12-30 06:00:00,FALSE,"Other",0.0553,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8163.2102,8163.2102,FALSE,"Other","WIND",2022
"15",2022-12-30,"07","","HHW1",1,0,0,1.16,1.16,1.16,"Y",1.16,"N","BER Hand Hills Wind LP",2022-12-30 07:00:00,FALSE,"Other",1.16,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8169.9584,8169.9584,FALSE,"Other","WIND",2022
"16",2022-12-30,"08","","HHW1",1,0,0,0.8008,0.8008,0.8008,"Y",0.8008,"N","BER Hand Hills Wind LP",2022-12-30 08:00:00,FALSE,"Other",0.8008,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8223.8755,8223.8755,FALSE,"Other","WIND",2022
"17",2022-12-30,"09","","HHW1",1,0,0,0.0423,0.0423,0.0423,"Y",0.0423,"N","BER Hand Hills Wind LP",2022-12-30 09:00:00,FALSE,"Other",0.0423,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,7985.749,7985.749,FALSE,"Other","WIND",2022
"18",2022-12-30,"12","","HHW1",1,0,0,0.6822,0.6822,0.6822,"Y",0.6822,"N","BER Hand Hills Wind LP",2022-12-30 12:00:00,FALSE,"Other",0.6822,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,7990.6726,7990.6726,FALSE,"Other","WIND",2022
"19",2022-12-30,"13","","HHW1",1,0,0,0.2982,0.2982,0.2982,"Y",0.2982,"N","BER Hand Hills Wind LP",2022-12-30 13:00:00,FALSE,"Other",0.2982,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,7888.0967,7888.0967,FALSE,"Other","WIND",2022
"20",2022-12-30,"14","","HHW1",1,0,0,0.3995,0.3995,0.3995,"Y",0.3995,"N","BER Hand Hills Wind LP",2022-12-30 14:00:00,FALSE,"Other",0.3995,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,7902.4739,7909.4739,FALSE,"Other","WIND",2022
"21",2022-12-30,"15","","HHW1",1,0,0,0.6743,0.6743,0.6743,"Y",0.6743,"N","BER Hand Hills Wind LP",2022-12-30 15:00:00,FALSE,"Other",0.6743,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8282.8794,8282.8794,FALSE,"Other","WIND",2022
"22",2022-12-30,"16","","HHW1",1,0,0,0.67,0.67,0.67,"Y",0.67,"N","BER Hand Hills Wind LP",2022-12-30 16:00:00,FALSE,"Other",0.67,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8276.4875,8276.4875,FALSE,"Other","WIND",2022
"23",2022-12-30,"17","","HHW1",1,0,0,0.1667,0.1667,0.1667,"Y",0.1667,"N","BER Hand Hills Wind LP",2022-12-30 17:00:00,FALSE,"Other",0.1667,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8375.2936,8375.2936,FALSE,"Other","WIND",2022
"24",2022-12-30,"18","","HHW1",1,0,0,0.9023,0.9023,0.9023,"Y",0.9023,"N","BER Hand Hills Wind LP",2022-12-30 18:00:00,FALSE,"Other",0.9023,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8324.7068,8324.7068,FALSE,"Other","WIND",2022
"25",2022-12-30,"19","","HHW1",1,0,0,0.5848,0.5848,0.5848,"Y",0.5848,"N","BER Hand Hills Wind LP",2022-12-30 19:00:00,FALSE,"Other",0.5848,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8316.5724,8316.5724,FALSE,"Other","WIND",2022
"26",2022-12-30,"20","","HHW1",1,0,0,0.1649,0.1649,0.1649,"Y",0.1649,"N","BER Hand Hills Wind LP",2022-12-30 20:00:00,FALSE,"Other",0.1649,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8296.3863,8296.3863,FALSE,"Other","WIND",2022
"27",2022-12-30,"21","","HHW1",1,0,0,0.0913,0.0913,0.0913,"Y",0.0913,"N","BER Hand Hills Wind LP",2022-12-30 21:00:00,FALSE,"Other",0.0913,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8263.6376,8263.6376,FALSE,"Other","WIND",2022
"28",2022-12-30,"22","","HHW1",1,0,0,0.2545,0.2545,0.2545,"Y",0.2545,"N","BER Hand Hills Wind LP",2022-12-30 22:00:00,FALSE,"Other",0.2545,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8209.4669,8209.4669,FALSE,"Other","WIND",2022
"29",2022-12-30,"23","","HHW1",1,0,0,0.3056,0.3056,0.3056,"Y",0.3056,"N","BER Hand Hills Wind LP",2022-12-30 23:00:00,FALSE,"Other",0.3056,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8275.6226,8275.6226,FALSE,"Other","WIND",2022
"30",2022-12-30,"24","","HHW1",1,0,0,0.5511,0.5511,0.5511,"Y",0.5511,"N","BER Hand Hills Wind LP",2022-12-30,FALSE,"Other",0.5511,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8302.0487,8302.0487,FALSE,"Other","WIND",2022
"31",2022-12-31,"01","","HHW1",1,0,0,0.2079,0.2079,0.2079,"Y",0.2079,"N","BER Hand Hills Wind LP",2022-12-31 01:00:00,FALSE,"Other",0.2079,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8458.9965,8458.9965,FALSE,"Other","WIND",2022
"32",2022-12-31,"02","","HHW1",1,0,0,0.0844,0.0844,0.0844,"Y",0.0844,"N","BER Hand Hills Wind LP",2022-12-31 02:00:00,FALSE,"Other",0.0844,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8329.0264,8329.0264,FALSE,"Other","WIND",2022
"33",2022-12-31,"03","","HHW1",1,0,0,0.0193,0.0193,0.0193,"Y",0.0193,"N","BER Hand Hills Wind LP",2022-12-31 03:00:00,FALSE,"Other",0.0193,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8265.6559,8265.6559,FALSE,"Other","WIND",2022
"34",2022-12-31,"04","","HHW1",1,0,0,0.0367,0.0367,0.0367,"Y",0.0367,"N","BER Hand Hills Wind LP",2022-12-31 04:00:00,FALSE,"Other",0.0367,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8200.1231,8200.1231,FALSE,"Other","WIND",2022
"35",2022-12-31,"05","","HHW1",1,0,0,0.3505,0.3505,0.3505,"Y",0.3505,"N","BER Hand Hills Wind LP",2022-12-31 05:00:00,FALSE,"Other",0.3505,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8116.6584,8116.6584,FALSE,"Other","WIND",2022
"36",2022-12-31,"06","","HHW1",1,0,0,0.6127,0.6127,0.6127,"Y",0.6127,"N","BER Hand Hills Wind LP",2022-12-31 06:00:00,FALSE,"Other",0.6127,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8091.6175,8091.6175,FALSE,"Other","WIND",2022
"37",2022-12-31,"07","","HHW1",1,0,0,0.6921,0.6921,0.6921,"Y",0.6921,"N","BER Hand Hills Wind LP",2022-12-31 07:00:00,FALSE,"Other",0.6921,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8050.2318,8050.2318,FALSE,"Other","WIND",2022
"38",2022-12-31,"08","","HHW1",1,0,0,0.5525,0.5525,0.5525,"Y",0.5525,"N","BER Hand Hills Wind LP",2022-12-31 08:00:00,FALSE,"Other",0.5525,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8061.3308,8061.3308,FALSE,"Other","WIND",2022
"39",2022-12-31,"09","","HHW1",1,0,0,0.3611,0.3611,0.3611,"Y",0.3611,"N","BER Hand Hills Wind LP",2022-12-31 09:00:00,FALSE,"Other",0.3611,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,7933.198,7933.198,FALSE,"Other","WIND",2022
"40",2022-12-31,"10","","HHW1",1,0,0,0.6773,0.6773,0.6773,"Y",0.6773,"N","BER Hand Hills Wind LP",2022-12-31 10:00:00,FALSE,"Other",0.6773,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8009.7305,8009.7305,FALSE,"Other","WIND",2022
"41",2022-12-31,"11","","HHW1",1,0,0,1.1126,1.1126,1.1126,"Y",1.1126,"N","BER Hand Hills Wind LP",2022-12-31 11:00:00,FALSE,"Other",1.1126,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8325.1697,8325.1697,FALSE,"Other","WIND",2022
"42",2022-12-31,"12","","HHW1",1,0,0,1.421,1.421,1.421,"Y",1.421,"N","BER Hand Hills Wind LP",2022-12-31 12:00:00,FALSE,"Other",1.421,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8338.1109,8338.1109,FALSE,"Other","WIND",2022
"43",2022-12-31,"13","","HHW1",1,0,0,2.1351,2.1351,2.1351,"Y",2.1351,"N","BER Hand Hills Wind LP",2022-12-31 13:00:00,FALSE,"Other",2.1351,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8284.1096,8284.1096,FALSE,"Other","WIND",2022
"44",2022-12-31,"14","","HHW1",1,0,0,2.0358,2.0358,2.0358,"Y",2.0358,"N","BER Hand Hills Wind LP",2022-12-31 14:00:00,FALSE,"Other",2.0358,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8238.069,8238.069,FALSE,"Other","WIND",2022
"45",2022-12-31,"15","","HHW1",1,0,0,2.1172,2.1172,2.1172,"Y",2.1172,"N","BER Hand Hills Wind LP",2022-12-31 15:00:00,FALSE,"Other",2.1172,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8250.8519,8250.8519,FALSE,"Other","WIND",2022
"46",2022-12-31,"16","","HHW1",1,0,0,1.324,1.324,1.324,"Y",1.324,"N","BER Hand Hills Wind LP",2022-12-31 16:00:00,FALSE,"Other",1.324,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,8081.6157,8081.6157,FALSE,"Other","WIND",2022
"47",2022-12-31,"17","","HHW1",1,0,0,0.9063,0.9063,0.9063,"Y",0.9063,"N","BER Hand Hills Wind LP",2022-12-31 17:00:00,FALSE,"Other",0.9063,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,7888.0873,7888.0873,FALSE,"Other","WIND",2022
"48",2022-12-31,"18","","HHW1",1,0,0,0.7268,0.7268,0.7268,"Y",0.7268,"N","BER Hand Hills Wind LP",2022-12-31 18:00:00,FALSE,"Other",0.7268,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,7878.8052,7878.8052,FALSE,"Other","WIND",2022
"49",2022-12-31,"19","","HHW1",1,0,0,0.5399,0.5399,0.5399,"Y",0.5399,"N","BER Hand Hills Wind LP",2022-12-31 19:00:00,FALSE,"Other",0.5399,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,7869.9945,7869.9945,FALSE,"Other","WIND",2022
"50",2022-12-31,"20","","HHW1",1,0,0,0.3749,0.3749,0.3749,"Y",0.3749,"N","BER Hand Hills Wind LP",2022-12-31 20:00:00,FALSE,"Other",0.3749,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,7847.9298,7847.9298,FALSE,"Other","WIND",2022
"51",2022-12-31,"21","","HHW1",1,0,0,0.6568,0.6568,0.6568,"Y",0.6568,"N","BER Hand Hills Wind LP",2022-12-31 21:00:00,FALSE,"Other",0.6568,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,7857.8393,7857.8393,FALSE,"Other","WIND",2022
"52",2022-12-31,"22","","HHW1",1,0,0,0.3589,0.3589,0.3589,"Y",0.3589,"N","BER Hand Hills Wind LP",2022-12-31 22:00:00,FALSE,"Other",0.3589,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,7899.2954,7899.2954,FALSE,"Other","WIND",2022
"53",2022-12-31,"23","","HHW1",1,0,0,0.0857,0.0857,0.0857,"Y",0.0857,"N","BER Hand Hills Wind LP",2022-12-31 23:00:00,FALSE,"Other",0.0857,"Hand Hills (HHW1)",145,"WIND","WIND",NA,NA,NA,NA,"TIER_50",NA,NA,7899.5813,7899.5813,FALSE,"Other","WIND",2022
